word,level,meaning,sentence
block,1,塊；障礙物；堵住,A fallen tree blocked the road.
blow,1,吹；吹氣；打擊,The wind blew hard.
blue,1,藍色的,The sky is blue.
boat,1,小船；划船,We rowed a boat on the lake.
body,1,身體；主要部分,Exercise keeps your body strong.
book,1,書籍,I read a good book.
bored,1,感到厭煩的,The students looked bored.
boring,1,令人厭煩的,The movie was boring.
born,1,出生的,She was born in June.
borrow,1,借入,Can I borrow your pen?
boss,1,老闆,My boss is very kind.
both,1,兩者皆,Both answers are correct.
bottle,1,瓶子；把…裝瓶,He drank a bottle of water.
bow,1,弓；虹；蝴蝶結,She tied a bow in her hair.
bowl,1,碗,The soup is in the bowl.
box,1,箱，盒；把…裝箱,Put the toys in the box.
boy,1,男孩；少年,The boy is playing outside.
brave,1,勇敢的,The brave firefighter saved him.
bread,1,麵包,She bought fresh bread.
break,1,打破；破曉,Be careful not to break the glass.
breakfast,1,早餐,I eat breakfast at seven.
bridge,1,橋樑；艦橋,We walked over the bridge.
bright,1,明亮的；聰明的,The room is bright and clean.
bring,1,帶來；引起,Please bring your book.
brother,1,兄弟,My brother is older than me.
brown,1,棕色的,He has brown eyes.
bug,1,蟲子,A bug landed on the leaf.
build,1,建造,They will build a new school.
bus,1,巴士,I take the bus to work.
business,1,商業；交易,He is in the food business.
busy,1,忙碌的,She is busy today.
butter,1,奶油；塗奶油於,He put butter on the bread.
butterfly,1,蝴蝶,A butterfly flew by.
button,1,鈕扣；按鈕,Press the button to start.
buy,1,買,I want to buy a new phone.
cake,1,蛋糕,She made a chocolate cake.
call,1,呼叫；打電話,Please call me tonight.
camera,1,照相機,He took a photo with his camera.
camp,1,營地；露營,We stayed at a camp.
can,1,罐頭；金屬容器,He opened a can of soup.
cap,1,帽子；覆蓋,He wore a blue cap.
card,1,卡片；紙牌遊戲,She sent me a birthday card.
care,1,關心；照顧,She cares about her friends.
careful,1,仔細的,Be careful on the road.
carrot,1,胡蘿蔔,Rabbits like carrots.
carry,1,運送；攜帶,Can you carry this bag?
case,1,事實；實例,"In this case, we should wait."
catch,1,抓住；捕獲,Catch the ball!
celebrate,1,慶祝,We celebrate her birthday today.
cent,1,一分錢,I found a cent on the floor.
center,1,使集中；核心,The store is in the city center.
certain,1,確信的,I am certain he will come.
chair,1,椅子,Please sit on the chair.
chance,1,偶然；機會,Give me a chance to try.
cheap,1,便宜的,This shirt is very cheap.
check,1,支票；檢查,Please check your answers.
cheese,1,乳酪；乾酪,I like cheese on my pizza.
chicken,1,雞肉；膽小鬼,We ate chicken for dinner.
child,1,小孩子,The child is playing.
chocolate,1,巧克力,She loves chocolate.
choice,1,選擇,You have a choice.
choose,1,選擇,Choose one answer.
church,1,教堂,They go to church on Sunday.
circle,1,循環；畫圓圈,Draw a circle on the paper.
city,1,城市,Taipei is a big city.
class,1,階級；班級,Our class has thirty students.
clean,1,乾淨的,The room is clean.
clear,1,清楚的,The instructions are clear.
clerk,1,店員,The clerk helped me.
climb,1,攀爬,They climb the mountain.
clock,1,時鐘,The clock is on the wall.
close,1,接近的,Please close the door.
clothes,1,衣服,She bought new clothes.
cloud,1,雲；遮蔽,A cloud covered the sun.
club,1,俱樂部；募集,He joined a tennis club.
coat,1,外套；覆蓋,Put on your coat.
coffee,1,咖啡,I drink coffee every morning.
color,1,顏色；彩色,What color is your car?
come,1,來到；甦醒,"Come here, please."
common,1,一般的,This is a common mistake.
computer,1,電腦,I use a computer at work.
convenient,1,便利的,The store is convenient.
cook,1,廚師；烹煮,My father can cook well.
cookie,1,甜餅乾,She ate a cookie.
cool,1,涼爽的；使冷卻,The weather is cool today.
copy,1,副本；拷貝,Make a copy of this page.
correct,1,正確的；更正,Your answer is correct.
cost,1,花費；付出,How much does it cost?
couch,1,長沙發；睡椅,He sat on the couch.
count,1,計算,Count from one to ten.
country,1,國家；鄉下,Japan is a beautiful country.
course,1,課程；過程,I took a math course.
cousin,1,表(兄弟姊妹),My cousin lives in Canada.
cover,1,封面；遮蓋,Cover the food with a cloth.
cow,1,母牛,The cow eats grass.
crazy,1,瘋狂的,That is a crazy idea.
cross,1,交叉；越過,Cross the street carefully.
cry,1,哭；叫喊,The baby began to cry.
cup,1,杯子,She drank a cup of tea.
cut,1,切,"Cut the cake, please."
cute,1,可愛的,The puppy is cute.
dance,1,舞蹈,They dance together.
dangerous,1,危險的,Driving fast is dangerous.
dark,1,黑暗的,The room is dark.
date,1,棗；棗椰樹,The date palm grows in warm places.
daughter,1,女兒,Their daughter is a teacher.
day,1,白天,Have a nice day.
dead,1,死去的；無效的,The plant is dead.
deal,1,交易；處理,They made a deal.
dear,1,親愛的,"Dear Tom, how are you?"
decide,1,決定,I decide to stay home.
deep,1,深的,The water is deep.
define,1,解釋；給…下定義,Can you define this word?
desk,1,書桌,The book is on the desk.
dictionary,1,字典,Look it up in the dictionary.
die,1,死亡,The old tree will die.
different,1,不同的,We have different opinions.
difficult,1,困難的,This test is difficult.
dig,1,挖；掘,The dog dug a hole.
dinner,1,晚餐,We had dinner at six.
dirty,1,污穢的,His shoes are dirty.
dish,1,碟；菜餚,This dish tastes good.
doctor/doc,1,醫生；博士,The doctor helped me.
dog,1,狗,The dog is friendly.
doll,1,洋娃娃,She played with a doll.
dollar,1,美、加等國)元,It costs one dollar.
down,1,在…下方；下面的,"Sit down, please."
dozen,1,一打；十二個,She bought a dozen eggs.
draw,1,畫；拖拉,He likes to draw pictures.
dream,1,夢；做夢,I had a strange dream.
dress,1,女裝；打扮,She wore a red dress.
drink,1,飲料；喝,Please drink some water.
drive,1,車程；駕駛,He can drive a car.
drop,1,一)滴；下降,A drop of rain fell.
drum,1,鼓；打鼓,He plays the drum.
dry,1,乾燥的；使變乾,The towel is dry.
duck,1,鴨子,A duck swam in the pond.
during,1,在…期間,I slept during the movie.
each,1,各個,Each student has a book.
ear,1,耳朵；聽力,She whispered in my ear.
early,1,早的,I woke up early.
earth,1,陸地；地球,The earth goes around the sun.
east,1,東方的,The sun rises in the east.
easy,1,容易的,This question is easy.
eat,1,吃；喝,We eat lunch at noon.
egg,1,蛋；卵細胞,She boiled an egg.
either,1,兩者之中)任一的,Either answer is fine.
elephant,1,象,The elephant is very big.
else,1,其他；另外,Do you want anything else?
end,1,結束,The movie will end soon.
engineer,1,工程師,My father is an engineer.
enjoy(ment),1,享受,I enjoy reading books.
enough,1,足夠的,We have enough food.
enter,1,進入；參加,Please enter the room.
envelope,1,信封,Put the letter in the envelope.
eraser,1,擦除器(如橡皮擦),May I borrow your eraser?
error,1,錯誤,There is an error in the report.
even,1,甚至；連,Even a child can do it.
evening,1,晚上,We met in the evening.
ever,1,永遠,Have you ever been to Japan?
every,1,每個,Every student has a desk.
example,1,例子；樣品,Give me an example.
excellent,1,傑出的；卓越的,Your work is excellent.
except,1,除了…之外,Everyone came except Tom.
exercise,1,運動；鍛鍊,Exercise is good for health.
expect,1,期望,I expect to see you soon.
expensive,1,昂貴的,This watch is expensive.
experience,1,經驗,She has teaching experience.
explain,1,解釋,Please explain the rule.
eye,1,眼睛,She has blue eyes.
face,1,面孔；面臨,Wash your face.
fact,1,事實,It is a fact.
factory,1,工廠,He works in a factory.
fail,1,失敗；不及格,Do not be afraid to fail.
fall,1,落下,Leaves fall in autumn.
family,1,家庭；家人,My family is large.
famous,1,著名的,He is a famous singer.
fan,1,扇子；煽動,She is a fan of that band.
far,1,遙遠的,The school is not far.
farm,1,農莊；農場,They live on a farm.
farmer,1,農人；農場經營者,The farmer grows rice.
fast,1,快速的,He runs fast.
fat,1,肥胖的,The cat is fat.
father,1,父親,My father is a teacher.
feed,1,餵食,Please feed the dog.
feel,1,摸；感覺,I feel happy today.
festival,1,節日；歡樂,The festival is in spring.
few,1,少數,Few people came.
fight,1,打鬥；爭吵,They had a fight.
fill,1,二/n.裝滿,Fill the glass with water.
find,1,尋找；得到,I cannot find my keys.
fine,1,美好的；健康的,"I am fine, thank you."
finger,1,手指；指出,She pointed with her finger.
finish,1,結束；完成,Please finish your homework.
fire,1,火；開火,The fire is warm.
first,1,第一的,This is my first visit.
fish,1,魚類；釣魚,We caught a fish.
floor,1,地板,The floor is clean.
flower,1,花朵；開花,The flower smells good.
fly,1,蒼蠅；蟲形魚鉤,A fly landed on the food.
follow,1,跟隨,"Follow me, please."
food,1,食物,The food is delicious.
fool,1,傻瓜,Do not be a fool.
foot,1,腳；足,My foot hurts.
foreign,1,外國的；陌生的,She speaks a foreign language.
foreigner,1,外國人,A foreigner asked for help.
forget,1,忘記,Do not forget your keys.
fork,1,叉子；分岔,Use a fork to eat.
free,1,自由的,The bird is free.
fresh,1,新鮮的,The fish is fresh.
friend,1,朋友,He is my best friend.
friendly,1,友善的,The people here are friendly.
frog,1,青蛙,A frog jumped into the pond.
from,1,始於；出自,I am from Taiwan.
front,1,前面(的),The car is in front of the house.
fruit,1,水果；成果,Eat more fruit.
full,1,滿的；完全的,The glass is full.
fun,1,娛樂；玩笑,We had a lot of fun.
funny,1,有趣的,The story is funny.
future,1,未來；前途,Think about your future.
game,1,遊戲；競賽,Let's play a game.
garden,1,花園；從事園藝,She works in the garden.
gate,1,大門；柵門,The gate is open.
get,1,獲得；到達,I get up at seven.
ghost,1,鬼；幽靈,The ghost story scared me.
giant,1,巨人；巨大的,A giant tree stood there.
gift,1,禮品；天賦,This gift is for you.
girl,1,少女,The girl is singing.
give,1,給；送給,Give me a hand.
glad,1,高興的,I am glad to see you.
glass,1,玻璃；玻璃杯,He drank a glass of milk.
glasses,1,眼鏡,She wears glasses.
glove(s),1,手套,Put on your gloves.
go,1,去；從事,Let's go home.
god/goddess,1,上帝；造物主,They prayed to God.
good,1,好的；利益,This is a good book.
goodbye,1,再見,"Goodbye, see you tomorrow."
grade,1,級別；評分,She got a good grade.
grandfather,1,祖父；外祖父,My grandfather is old.
grandmother,1,祖母；外祖母,My grandmother cooks well.
grass,1,青草；草地,The grass is green.
gray,1,灰色的,The sky is gray.
great,1,重大的,That is a great idea.
green,1,綠色的,The leaves are green.
ground,1,地面,The ground is wet.
group,1,群；團體；聚集,A group of students came.
grow,1,發育；種植,Plants grow in spring.
guess,1,猜測,Guess what happened.
guitar,1,吉他,He plays the guitar.
guy,1,傢伙；朋友,That guy is my friend.
habit,1,習慣,Reading is a good habit.
hair,1,毛髮；頭髮,She has long hair.
half,1,二分之一的,Give me half of the cake.
ham,1,火腿,I ate a ham sandwich.
hand,1,手；交給,Raise your hand.
hang,1,懸掛；吊死,Hang your coat here.
happen,1,發生,What happened yesterday?
happy,1,快樂的,I am happy today.
hard,1,硬的；艱難的,This work is hard.
hat,1,帽子,He wore a black hat.
hate,1,憎恨,I hate cold weather.
head,1,頭,She nodded her head.
headache,1,頭痛,I have a headache.
health,1,健康,Health is important.
healthy,1,健康的,She is healthy.
hear,1,聽見,I can hear you.
heart,1,心臟；中心,My heart beats fast.
heat,1,熱度；加熱,Heat the soup.
heavy,1,沉重的,The box is heavy.
height,1,高度,What is your height?
help,1,幫助,Can you help me?
helpful,1,有幫助的,Your advice is helpful.
here,1,這裡；在這裡,Come here.
history,1,歷史,I like history class.
hit,1,打中；打擊,He hit the ball.
hobby,1,嗜好,My hobby is reading.
hold,1,抓住；支撐,Hold my hand.
holiday,1,假日,We had a happy holiday.
home,1,住家；家庭,I am at home.
homework,1,家庭作業,Do your homework.
honest,1,誠實的,He is an honest man.
honey,1,蜂蜜,Bees make honey.
hope,1,希望,I hope you feel better.
horse,1,馬,The horse runs fast.
hospital,1,醫院,She works in a hospital.
hot,1,熱的；熱情的,The soup is hot.
hotel,1,旅館；飯店,We stayed at a hotel.
house,1,住宅,Their house is big.
housewife,1,家庭主婦,She is a housewife.
how,1,如何；多少,How are you?
however,1,然而,"However, I still agree."
hundred,1,一百,There are one hundred books.
hungry,1,飢餓的；渴求的,I am hungry.
hurt,1,受傷,My leg hurts.
husband,1,丈夫,Her husband is a doctor.
ice,1,冰,The ice is cold.
idea,1,主意；觀念,That is a good idea.
if,1,如果,"If it rains, stay home."
important,1,重要的,This is important.
inch,1,英吋,The line is one inch long.
insect,1,昆蟲,An insect flew by.
inside,1,在…的裡面；內部的,Stay inside.
interest,1,利益；興趣,I have an interest in music.
interesting,1,有趣的,The book is interesting.
interview,1,會見；面試,She has a job interview.
invite,1,邀請,I invite you to my party.
island,1,島,The island is beautiful.
item,1,項目,Check each item.
jacket,1,夾克,He wore a warm jacket.
jeans,1,牛仔褲,She likes blue jeans.
job,1,工作,He found a new job.
join,1,參加,Join us for dinner.
joke,1,玩笑,He told a funny joke.
joy,1,歡樂,Her face was full of joy.
juice,1,果汁,I drink orange juice.
jump,1,跳躍,The cat can jump high.
just,1,公平的,I just finished.
keep,1,保存,Keep this secret.
key,1,關鍵的,Where is my key?
kick,1,踢；反衝,He kicked the ball.
kid,1,小孩,The kid is playing.
kill,1,殺死；使終止,Do not kill insects.
kind,1,親切的,She is kind to everyone.
king,1,國王,The king ruled the land.
kiss,1,吻,She gave him a kiss.
kitchen,1,廚房,Mom is in the kitchen.
kite,1,風箏,The boy flew a kite.
knee,1,膝蓋,He hurt his knee.
knife,1,刀,Cut it with a knife.
knock,1,敲；打,Knock on the door.
know,1,知道,I know the answer.
knowledge,1,知識,Knowledge is power.
lake,1,湖,We swam in the lake.
lamp,1,燈,Turn on the lamp.
land,1,土地,The land is fertile.
language,1,語言,English is a world language.
large,1,大的,A large crowd came.
last,1,最後的；最近的,This is the last page.
late,1,遲的；晚的,He was late for school.
laugh,1,笑,We laughed together.
lawyer,1,律師,The lawyer helped him.
lazy,1,懶散的,Do not be lazy.
lead,1,領導,She will lead the team.
leader,1,領袖,He is a good leader.
learn,1,學習,I learn English every day.
leave,1,休假；許可；離開,We leave at noon.
leg,1,腿,My leg is strong.
lemon,1,檸檬,The lemon is sour.
less,1,較少的/地,Eat less sugar.
lesson,1,功課；課程,The lesson was easy.
let,1,允許；讓,Let me help you.
letter,1,信；字母,I got a letter today.
level,1,高度；層；水準,The water level is high.
library,1,圖書館,I study in the library.
lie,1,躺臥,Do not lie on the floor.
life,1,生命,Life is beautiful.
light,1,明亮的,The room is light.
like,1,像；和·一樣,I like apples.
line,1,線條；畫線於,Draw a straight line.
lion,1,獅子,The lion is strong.
lip,1,嘴唇,She has red lips.
list,1,表；把…編列成表,Make a shopping list.
listen,1,聽；聽從,Listen to the teacher.
little,1,小的,A little cat sat there.
live,1,活的,They live in Taipei.
lonely,1,寂寞的,He feels lonely.
long,1,渴望,The river is long.
look,1,看,Look at the board.
lose,1,丟失,Do not lose your ticket.
lot,1,很多,I have a lot of work.
loud,1,大聲的,The music is loud.
love,1,愛；喜歡,I love my family.
lovely,1,可愛的,What a lovely day!
low,1,低的,The chair is low.
lucky,1,幸運的,You are very lucky.
lunch,1,午餐,We had lunch at noon.
machine,1,機器,The machine works well.
mad,1,發瘋的；狂熱的,He was mad at me.
magic,1,有魔力的；魔法,The magic show was fun.
mail,1,郵件；郵寄,I got mail today.
main,1,主要的,This is the main road.
make,1,做；到達；獲得,I make breakfast every day.
man,1,男人,The man is tall.
many,1,許多,Many people came.
map,1,地圖,Look at the map.
mark,1,痕跡；記號,There is a mark on the wall.
market,1,市場,We buy food at the market.
married,1,已婚的,They are married.
mathematics/math,1,數學,Math is my favorite subject.
matter,1,事情；問題,What is the matter?
may,1,五月,May is a warm month.
maybe,1,可能,Maybe he is right.
meal,1,一餐,We had a big meal.
mean,1,吝嗇的,He is mean with money.
meat,1,食用的)肉,She does not eat meat.
media,1,媒體,The media reported the news.
medicine,1,藥；醫學,Take your medicine.
medium,1,中間；媒介,He is of medium height.
meet,1,遇見,Nice to meet you.
meeting,1,會議,The meeting starts at ten.
member,1,成員,She is a club member.
menu,1,菜單；項目單,"Read the menu, please."
middle,1,中問的；中部,He sat in the middle.
milk,1,牛奶,I drink milk every day.
million,1,百萬,A million people live here.
mind,1,頭腦；注意；留意,Keep that in mind.
mine,1,礦；礦山,This book is mine.
minute,1,分鐘,Wait a minute.
miss,1,錯過；想念,I miss my family.
mistake,1,錯誤；過失,I made a mistake.
moment,1,片刻,Wait a moment.
money,1,錢,I need some money.
monkey,1,猴子,The monkey climbed the tree.
month,1,月,Next month is May.
moon,1,月亮,The moon is bright.
more,1,更多的,I need more time.
morning,1,早晨,Good morning!
most,1,最大程度地,Most students passed.
mother,1,母親；媽媽,My mother is kind.
mountain,1,山,The mountain is high.
mouse,1,鼠；滑鼠,The mouse is small.
mouth,1,嘴；口,Open your mouth.
move(ment),1,使移動；使感動,Please move your car.
movie/film,1,電影,We watched a movie.
Mrs.,1,太太,Mrs. Wang is my teacher.
much,1,許多的,I do not have much time.
mud,1,泥,His shoes were covered with mud.
museum,1,博物館,We visited the museum.
music,1,音樂,I like pop music.
name,1,名字,What is your name?
national,1,國家的,Today is a national holiday.
nature,1,自然,I love nature.
neck,1,頸；脖子,My neck hurts.
need,1,需要,I need your help.
net,1,網；用網捕,The ball hit the net.
never,1,永不,I never smoke.
new,1,新的,This is a new book.
news,1,新聞,I watch the news.
newspaper,1,報紙,He reads a newspaper.
nice,1,好的,You are very nice.
night,1,夜,Good night.
noise,1,噪音,The noise woke me up.
noisy,1,吵鬧的,The class is noisy.
noon,1,中午,We meet at noon.
north,1,北方,They live in the north.
nose,1,鼻；嗅覺,My nose is runny.
note,1,筆記；注意,Take a note.
notice,1,公告；注意；通知,I did not notice him.
now,1,現在,We must go now.
number,1,數字；給…號碼,What is your phone number?
nurse,1,護士,The nurse is kind.
office,1,辦公室,She works in an office.
officer,1,軍官；官員,The officer helped us.
often,1,時常,I often read at night.
oil,1,油；石油,Add some oil to the pan.
old,1,老的；舊的,This is an old house.
once,1,曾經；一旦,Once I lived there.
other,1,另一個的；另一方,The other shoe is missing.
out,1,在外,He is out now.
outside,1,在外面；外部的,The children play outside.
over,1,在…之上,The plane flew over the city.
own,1,自己的,I have my own room.
pack,1,包裹；捆,Pack your bags.
package,1,包；包裝,A package arrived.
page,1,頁,Turn to page ten.
paint,1,油漆；顏料,They paint the wall.
pair,1,一對,I bought a pair of shoes.
pants,1,褲子,He wears black pants.
paper,1,紙,Give me a sheet of paper.
parent(s),1,父母,My parents are kind.
park,1,公園,We played in the park.
part,1,一部分,This is my favorite part.
party,1,派對,We had a birthday party.
pass,1,通行許可；經過,Please pass the salt.
past,1,過去的,"In the past, life was simple."
pay(ment),1,付錢,I will pay for dinner.
pen,1,筆,May I borrow your pen?
pencil,1,鉛筆,Write with a pencil.
people,1,人們,Many people live here.
perhaps,1,也許,Perhaps he will come.
person,1,人,She is a good person.
pet,1,寵物；愛撫,I have a pet dog.
photograph/photo,1,照片,This photo is old.
piano,1,鋼琴,She plays the piano.
pick,1,十字鎬；挑選,Pick a card.
picnic,1,野餐；去郊遊野餐,We had a picnic.
picture,1,圖畫；想像,Draw a picture.
pie,1,派,She baked an apple pie.
piece,1,破片；拼合,I ate a piece of cake.
pig,1,豬,The pig is fat.
pink,1,粉紅色的,She likes pink.
pipe,1,管；用管道輸送,Water flows through the pipe.
place,1,地方；放置,This is a nice place.
plan,1,計劃,We made a plan.
planet,1,行星,Earth is a planet.
plant,1,植物；種植,The plant needs water.
plate,1,盤；碟,Put the food on the plate.
play,1,玩耍；玩,Children play outside.
please,1,使)高興,Please sit down.
pleasure,1,愉快,It is a pleasure to meet you.
pocket,1,口袋,The key is in my pocket.
point,1,尖端；持向,Do not point at people.
police,1,警察,The police came quickly.
polite,1,有禮貌的,He is polite to everyone.
pond,1,池塘,Ducks swim in the pond.
pool,1,水塘,We swam in the pool.
poor,1,貧窮的,The poor family needs help.
popcorn,1,玉米花,We ate popcorn at the movies.
popular,1,流行的,This song is popular.
possible,1,可能的,Is it possible to finish today?
pot,1,罐；壺；盒,The pot is on the stove.
potato,1,馬鈴薯,I ate a baked potato.
power,1,權力,The king had great power.
practice,1,練習；實踐,Practice makes perfect.
prepare,1,準備,Prepare for the test.
present,1,出席的,All students are present.
pretty,1,漂亮的,She is pretty.
price,1,價格,The price is high.
problem,1,問題,No problem.
program,1,程序；編製程序,The computer program works.
proud,1,白尊的,I am proud of you.
public,1,公眾的；大眾,This is a public park.
pull,1,拖；拉,Pull the door open.
put,1,安置,Put it on the table.
quarter,1,四分之一,It is a quarter past three.
queen,1,王后,The queen waved to the crowd.
question,1,問題；詢問,May I ask a question?
quick,1,快速的/地,Be quick!
quiet,1,安靜的；使安靜,Please be quiet.
quite,1,完全；非常,It is quite cold.
rabbit,1,兔,The rabbit is white.
race,1,比賽,He won the race.
radio,1,收音機,She listens to the radio.
rain,1,雨,The rain is heavy.
rainbow,1,彩虹,A rainbow appeared.
rainy,1,多雨的,It is a rainy day.
raise,1,舉起；上漲,Raise your hand.
reach,1,抵達,We reached the top.
read,1,讀,I read every night.
ready,1,有準備的,Are you ready?
real,1,真的,Is this real gold?
reason,1,理由,Tell me the reason.
red,1,紅色的,She wore a red hat.
relative,1,比較上的,A relative visited us.
remember,1,記得,Remember to call me.
repeat,1,重覆地說(做),Please repeat the question.
report,1,報告；述說,I wrote a report.
reporter,1,報告者,The reporter asked questions.
rest,1,休息,Take a rest.
restaurant,1,餐廳,We ate at a restaurant.
rice,1,米,We eat rice every day.
rich,1,富有的,He is a rich man.
ride,1,騎；騎乘,I ride my bike to school.
right,1,正確的,You are right.
ring,1,圈；圍住,The phone is ringing.
rise,1,上升；站起來,The sun rises in the east.
river,1,河流,The river is wide.
road,1,路,The road is long.
robot,1,機器人,The robot can walk.
rock,1,岩石,The rock is heavy.
roll,1,滾動,The ball rolled away.
room,1,房問,My room is clean.
root,1,根,The root is deep.
rope,1,繩子,Pull the rope.
rose,1,玫瑰,The rose is red.
round,1,圓的,The table is round.
row,1,爭吵,They had a row.
rule,1,規則,Follow the rule.
ruler,1,統治者,The ruler is long.
run,1,跑,I run every morning.
sad,1,難過,She feels sad.
safe,1,安全的,You are safe here.
salad,1,沙拉,I ate a green salad.
sale,1,出售；拍賣,The shoes are on sale.
salt,1,鹽,Add some salt.
same,1,同樣的,We have the same bag.
save,1,拯救,Save the child!
say,1,說,What did you say?
school,1,學校,I go to school.
science,1,科學,Science is interesting.
sea,1,海洋,The sea is blue.
season,1,季節,Spring is my favorite season.
seat,1,座位；坐下,Take a seat.
second,1,第 v.的；秒,Wait a second.
secretary,1,秘書,The secretary answered the phone.
sell,1,賣,They sell fruit.
send,1,送,Send me a message.
sentence,1,判決,Write a sentence.
serious,1,嚴肅的,He looks serious.
service,1,服侍,The service is good.
set,1,放置,Set the table.
several,1,幾個的；幾個,Several people came.
shake,1,搖動,Shake the bottle.
shape,1,形狀；做成,What shape is it?
share,1,分擔；分配,Share the cake.
sharp,1,尖銳的,The knife is sharp.
sheep,1,羊,The sheep eats grass.
ship,1,船,The ship is large.
shirt,1,襯衫,He wore a white shirt.
shoe(s),1,鞋,My shoes are new.
shop,1,商店,The shop is open.
short,1,短的,The rope is short.
shorts,1,短褲,He wears shorts in summer.
shoulder,1,肩膀；肩負,My shoulder hurts.
shout,1,喊叫(聲),Do not shout.
show,1,表演；展現,The show starts at eight.
shower,1,陣雨,I take a shower.
sick,1,有病的,She is sick.
sight,1,視力；看見,The sight was beautiful.
sign,1,記號；簽字,"Sign here, please."
simple,1,簡單的,It is a simple question.
since,1,從…以來,I have lived here since 2010.
sing,1,歌唱,She likes to sing.
singer,1,歌手,The singer is famous.
sir,1,先生,"Yes, sir."
sister,1,姊妹,My sister is younger.
sit,1,坐,Please sit down.
size,1,尺寸,What size do you wear?
skirt,1,裙子,She wore a blue skirt.
sky,1,天空,The sky is clear.
sleep,1,睡眠,I need more sleep.
slim,1,苗條的,She is slim.
slow,1,緩慢的,The turtle is slow.
small,1,小的,This is a small dog.
smart,1,聰明的,He is smart.
smell,1,氣味；聞,The flower smells sweet.
smile,1,微笑,She has a nice smile.
smoke,1,煙；抽煙,Do not smoke here.
snake,1,蛇,The snake is long.
snow,1,雪,The snow is white.
so,1,所以,"It rained, so we stayed home."
sofa,1,沙發,He sat on the sofa.
soldier,1,軍人,The soldier stood still.
some,1,一些,I need some water.
someone/somebody,1,某人,Someone is at the door.
