word,meaning,sentence,sentence_meaning,category
polite,有禮貌的,The word 'polite' means 有禮貌的 in Chinese.,單字 'polite' 在中文裡的意思是有禮貌的。,1. People
poor,窮的,The word 'poor' means 窮的 in Chinese.,單字 'poor' 在中文裡的意思是窮的。,1. People
successful,成功的,The word 'successful' means 成功的 in Chinese.,單字 'successful' 在中文裡的意思是成功的。,1. People
of body,身體,The word 'of body' means 身體 in Chinese.,單字 'of body' 在中文裡的意思是身體。,1. People
ear,耳朵,The word 'ear' means 耳朵 in Chinese.,單字 'ear' 在中文裡的意思是耳朵。,1. People
eye,眼睛,The word 'eye' means 眼睛 in Chinese.,單字 'eye' 在中文裡的意思是眼睛。,1. People
face,臉,The word 'face' means 臉 in Chinese.,單字 'face' 在中文裡的意思是臉。,1. People
hair,頭髮,The word 'hair' means 頭髮 in Chinese.,單字 'hair' 在中文裡的意思是頭髮。,1. People
lip,嘴唇,The word 'lip' means 嘴唇 in Chinese.,單字 'lip' 在中文裡的意思是嘴唇。,1. People
mouth,嘴吧,The word 'mouth' means 嘴吧 in Chinese.,單字 'mouth' 在中文裡的意思是嘴吧。,1. People
nose,鼻子,The word 'nose' means 鼻子 in Chinese.,單字 'nose' 在中文裡的意思是鼻子。,1. People
tooth,牙齒,The word 'tooth' means 牙齒 in Chinese.,單字 'tooth' 在中文裡的意思是牙齒。,1. People
arm,手臂,The word 'arm' means 手臂 in Chinese.,單字 'arm' 在中文裡的意思是手臂。,1. People
leg,腿,The word 'leg' means 腿 in Chinese.,單字 'leg' 在中文裡的意思是腿。,1. People
body,身體,The word 'body' means 身體 in Chinese.,單字 'body' 在中文裡的意思是身體。,1. People
finger,手指,The word 'finger' means 手指 in Chinese.,單字 'finger' 在中文裡的意思是手指。,1. People
foot,腳,The word 'foot' means 腳 in Chinese.,單字 'foot' 在中文裡的意思是腳。,1. People
hand,手,The word 'hand' means 手 in Chinese.,單字 'hand' 在中文裡的意思是手。,1. People
head,頭,The word 'head' means 頭 in Chinese.,單字 'head' 在中文裡的意思是頭。,1. People
throat,喉嚨,The word 'throat' means 喉嚨 in Chinese.,單字 'throat' 在中文裡的意思是喉嚨。,1. People
heart,心,The word 'heart' means 心 in Chinese.,單字 'heart' 在中文裡的意思是心。,1. People
stomach,胃,The word 'stomach' means 胃 in Chinese.,單字 'stomach' 在中文裡的意思是胃。,1. People
neck,脖子,The word 'neck' means 脖子 in Chinese.,單字 'neck' 在中文裡的意思是脖子。,1. People
shoulder,肩膀,The word 'shoulder' means 肩膀 in Chinese.,單字 'shoulder' 在中文裡的意思是肩膀。,1. People
aunt,阿姨,The word 'aunt' means 阿姨 in Chinese.,單字 'aunt' 在中文裡的意思是阿姨。,1. People
brother,兄弟,The word 'brother' means 兄弟 in Chinese.,單字 'brother' 在中文裡的意思是兄弟。,1. People
cousin,表哥弟妹,The word 'cousin' means 表哥弟妹 in Chinese.,單字 'cousin' 在中文裡的意思是表哥弟妹。,1. People
daughter,女兒,The word 'daughter' means 女兒 in Chinese.,單字 'daughter' 在中文裡的意思是女兒。,1. People
family,"家庭,家人","The word 'family' means 家庭,家人 in Chinese.","單字 'family' 在中文裡的意思是家庭,家人。",1. People
grandfather,爺爺,The word 'grandfather' means 爺爺 in Chinese.,單字 'grandfather' 在中文裡的意思是爺爺。,1. People
grandmother,奶奶,The word 'grandmother' means 奶奶 in Chinese.,單字 'grandmother' 在中文裡的意思是奶奶。,1. People
husband,丈夫,The word 'husband' means 丈夫 in Chinese.,單字 'husband' 在中文裡的意思是丈夫。,1. People
mother(mom),媽媽,The word 'mother(mom)' means 媽媽 in Chinese.,單字 'mother(mom)' 在中文裡的意思是媽媽。,1. People
father(dad),爸爸,The word 'father(dad)' means 爸爸 in Chinese.,單字 'father(dad)' 在中文裡的意思是爸爸。,1. People
parents,雙親,The word 'parents' means 雙親 in Chinese.,單字 'parents' 在中文裡的意思是雙親。,1. People
sister,妹妹,The word 'sister' means 妹妹 in Chinese.,單字 'sister' 在中文裡的意思是妹妹。,1. People
married,已婚,The word 'married' means 已婚 in Chinese.,單字 'married' 在中文裡的意思是已婚。,1. People
uncle,叔叔,The word 'uncle' means 叔叔 in Chinese.,單字 'uncle' 在中文裡的意思是叔叔。,1. People
grow,長大,The word 'grow' means 長大 in Chinese.,單字 'grow' 在中文裡的意思是長大。,1. People
hundred,百,The word 'hundred' means 百 in Chinese.,單字 'hundred' 在中文裡的意思是百。,1. People
thousand,千,The word 'thousand' means 千 in Chinese.,單字 'thousand' 在中文裡的意思是千。,1. People
many much,很多,The word 'many much' means 很多 in Chinese.,單字 'many much' 在中文裡的意思是很多。,1. People
some,一些,The word 'some' means 一些 in Chinese.,單字 'some' 在中文裡的意思是一些。,1. People
several,幾個,The word 'several' means 幾個 in Chinese.,單字 'several' 在中文裡的意思是幾個。,1. People
all,全部,The word 'all' means 全部 in Chinese.,單字 'all' 在中文裡的意思是全部。,1. People
first,第一,The word 'first' means 第一 in Chinese.,單字 'first' 在中文裡的意思是第一。,1. People
second,第二,The word 'second' means 第二 in Chinese.,單字 'second' 在中文裡的意思是第二。,1. People
third,第三,The word 'third' means 第三 in Chinese.,單字 'third' 在中文裡的意思是第三。,1. People
last,最後,The word 'last' means 最後 in Chinese.,單字 'last' 在中文裡的意思是最後。,1. People
number,數字,The word 'number' means 數字 in Chinese.,單字 'number' 在中文裡的意思是數字。,1. People
a few,一些,The word 'a few' means 一些 in Chinese.,單字 'a few' 在中文裡的意思是一些。,1. People
few,很少,The word 'few' means 很少 in Chinese.,單字 'few' 在中文裡的意思是很少。,1. People
both,兩者都,The word 'both' means 兩者都 in Chinese.,單字 'both' 在中文裡的意思是兩者都。,1. People
morning,早晨,The word 'morning' means 早晨 in Chinese.,單字 'morning' 在中文裡的意思是早晨。,1. People
noon,中午,The word 'noon' means 中午 in Chinese.,單字 'noon' 在中文裡的意思是中午。,1. People
afternoon,下午,The word 'afternoon' means 下午 in Chinese.,單字 'afternoon' 在中文裡的意思是下午。,1. People
evening,傍晚,The word 'evening' means 傍晚 in Chinese.,單字 'evening' 在中文裡的意思是傍晚。,1. People
night,夜晚,The word 'night' means 夜晚 in Chinese.,單字 'night' 在中文裡的意思是夜晚。,1. People
Monday,週一,The word 'monday' means 週一 in Chinese.,單字 'monday' 在中文裡的意思是週一。,1. People
Tuesday,週二,The word 'tuesday' means 週二 in Chinese.,單字 'tuesday' 在中文裡的意思是週二。,1. People
Wednesday,週三,The word 'wednesday' means 週三 in Chinese.,單字 'wednesday' 在中文裡的意思是週三。,1. People
Thursday,週四,The word 'thursday' means 週四 in Chinese.,單字 'thursday' 在中文裡的意思是週四。,1. People
Friday,週五,The word 'friday' means 週五 in Chinese.,單字 'friday' 在中文裡的意思是週五。,1. People
Saturday,週六,The word 'saturday' means 週六 in Chinese.,單字 'saturday' 在中文裡的意思是週六。,1. People
Sunday,星期天,The word 'sunday' means 星期天 in Chinese.,單字 'sunday' 在中文裡的意思是星期天。,1. People
week,週,The word 'week' means 週 in Chinese.,單字 'week' 在中文裡的意思是週。,1. People
weekend,週末,The word 'weekend' means 週末 in Chinese.,單字 'weekend' 在中文裡的意思是週末。,1. People
month,月,The word 'month' means 月 in Chinese.,單字 'month' 在中文裡的意思是月。,1. People
January,一月,The word 'january' means 一月 in Chinese.,單字 'january' 在中文裡的意思是一月。,1. People
February,二月,The word 'february' means 二月 in Chinese.,單字 'february' 在中文裡的意思是二月。,1. People
March,三月,The word 'march' means 三月 in Chinese.,單字 'march' 在中文裡的意思是三月。,1. People
April,四月,The word 'april' means 四月 in Chinese.,單字 'april' 在中文裡的意思是四月。,1. People
May,五月,The word 'may' means 五月 in Chinese.,單字 'may' 在中文裡的意思是五月。,1. People
June,六月,The word 'june' means 六月 in Chinese.,單字 'june' 在中文裡的意思是六月。,7. Food & drink
July,七月,The word 'july' means 七月 in Chinese.,單字 'july' 在中文裡的意思是七月。,7. Food & drink
August,八月,The word 'august' means 八月 in Chinese.,單字 'august' 在中文裡的意思是八月。,7. Food & drink
September,九月,The word 'september' means 九月 in Chinese.,單字 'september' 在中文裡的意思是九月。,7. Food & drink
October,十月,The word 'october' means 十月 in Chinese.,單字 'october' 在中文裡的意思是十月。,7. Food & drink
November,十一月,The word 'november' means 十一月 in Chinese.,單字 'november' 在中文裡的意思是十一月。,7. Food & drink
December,十二月,The word 'december' means 十二月 in Chinese.,單字 'december' 在中文裡的意思是十二月。,7. Food & drink
season,季節,The word 'season' means 季節 in Chinese.,單字 'season' 在中文裡的意思是季節。,7. Food & drink
spring,春天,The word 'spring' means 春天 in Chinese.,單字 'spring' 在中文裡的意思是春天。,7. Food & drink
summer,夏天,The word 'summer' means 夏天 in Chinese.,單字 'summer' 在中文裡的意思是夏天。,7. Food & drink
fall,秋天,The word 'fall' means 秋天 in Chinese.,單字 'fall' 在中文裡的意思是秋天。,7. Food & drink
winter,冬天,The word 'winter' means 冬天 in Chinese.,單字 'winter' 在中文裡的意思是冬天。,7. Food & drink
clock,鐘,The word 'clock' means 鐘 in Chinese.,單字 'clock' 在中文裡的意思是鐘。,7. Food & drink
watch,手錶,The word 'watch' means 手錶 in Chinese.,單字 'watch' 在中文裡的意思是手錶。,7. Food & drink
hour,時,The word 'hour' means 時 in Chinese.,單字 'hour' 在中文裡的意思是時。,7. Food & drink
today,今天,The word 'today' means 今天 in Chinese.,單字 'today' 在中文裡的意思是今天。,7. Food & drink
minute,分,The word 'minute' means 分 in Chinese.,單字 'minute' 在中文裡的意思是分。,7. Food & drink
year,年,The word 'year' means 年 in Chinese.,單字 'year' 在中文裡的意思是年。,7. Food & drink
ago,以前,The word 'ago' means 以前 in Chinese.,單字 'ago' 在中文裡的意思是以前。,7. Food & drink
past,過去,The word 'past' means 過去 in Chinese.,單字 'past' 在中文裡的意思是過去。,7. Food & drink
tomorrow,明天,The word 'tomorrow' means 明天 in Chinese.,單字 'tomorrow' 在中文裡的意思是明天。,7. Food & drink
yesterday,昨天,The word 'yesterday' means 昨天 in Chinese.,單字 'yesterday' 在中文裡的意思是昨天。,7. Food & drink
future,未來,The word 'future' means 未來 in Chinese.,單字 'future' 在中文裡的意思是未來。,7. Food & drink
soon,馬上,The word 'soon' means 馬上 in Chinese.,單字 'soon' 在中文裡的意思是馬上。,7. Food & drink
already,已經,The word 'already' means 已經 in Chinese.,單字 'already' 在中文裡的意思是已經。,7. Food & drink
early,早的,The word 'early' means 早的 in Chinese.,單字 'early' 在中文裡的意思是早的。,7. Food & drink
next,下一個,The word 'next' means 下一個 in Chinese.,單字 'next' 在中文裡的意思是下一個。,7. Food & drink
tonight,今晚,The word 'tonight' means 今晚 in Chinese.,單字 'tonight' 在中文裡的意思是今晚。,7. Food & drink
once,一次,The word 'once' means 一次 in Chinese.,單字 'once' 在中文裡的意思是一次。,7. Food & drink
twice,兩次,The word 'twice' means 兩次 in Chinese.,單字 'twice' 在中文裡的意思是兩次。,7. Food & drink
drink,飲食,We drink together after school.,我們放學後一起飲食。,7. Food & drink
fruit,水果,I eat an fruit every day.,我每天吃一個水果。,7. Food & drink
apple,蘋果,I eat an apple every day.,我每天吃一個蘋果。,7. Food & drink
banana,香蕉,I eat an banana every day.,我每天吃一個香蕉。,7. Food & drink
grapes,葡萄,The word 'grapes' means 葡萄 in Chinese.,單字 'grapes' 在中文裡的意思是葡萄。,7. Food & drink
guava,芭樂,The word 'guava' means 芭樂 in Chinese.,單字 'guava' 在中文裡的意思是芭樂。,7. Food & drink
lemon,檸檬,The word 'lemon' means 檸檬 in Chinese.,單字 'lemon' 在中文裡的意思是檸檬。,7. Food & drink
orange,柳橙,I eat an orange every day.,我每天吃一個柳橙。,7. Food & drink
papaya,木瓜,The word 'papaya' means 木瓜 in Chinese.,單字 'papaya' 在中文裡的意思是木瓜。,7. Food & drink
peach,桃子,The word 'peach' means 桃子 in Chinese.,單字 'peach' 在中文裡的意思是桃子。,7. Food & drink
pear,梨子,The word 'pear' means 梨子 in Chinese.,單字 'pear' 在中文裡的意思是梨子。,7. Food & drink
strawberry,草莓,The word 'strawberry' means 草莓 in Chinese.,單字 'strawberry' 在中文裡的意思是草莓。,7. Food & drink
tomato,蕃茄,The word 'tomato' means 蕃茄 in Chinese.,單字 'tomato' 在中文裡的意思是蕃茄。,7. Food & drink
watermelon,西瓜,The word 'watermelon' means 西瓜 in Chinese.,單字 'watermelon' 在中文裡的意思是西瓜。,7. Food & drink
vegetable,蔬菜,The word 'vegetable' means 蔬菜 in Chinese.,單字 'vegetable' 在中文裡的意思是蔬菜。,7. Food & drink
bean,豆子,The word 'bean' means 豆子 in Chinese.,單字 'bean' 在中文裡的意思是豆子。,7. Food & drink
pumpkin,南瓜,The word 'pumpkin' means 南瓜 in Chinese.,單字 'pumpkin' 在中文裡的意思是南瓜。,7. Food & drink
food,食物,I eat an food every day.,我每天吃一個食物。,7. Food & drink
meat,肉類,The word 'meat' means 肉類 in Chinese.,單字 'meat' 在中文裡的意思是肉類。,7. Food & drink
beef,牛肉,The word 'beef' means 牛肉 in Chinese.,單字 'beef' 在中文裡的意思是牛肉。,7. Food & drink
bread,麵包,The word 'bread' means 麵包 in Chinese.,單字 'bread' 在中文裡的意思是麵包。,7. Food & drink
bun,小麵包,The word 'bun' means 小麵包 in Chinese.,單字 'bun' 在中文裡的意思是小麵包。,7. Food & drink
chicken,雞肉,The word 'chicken' means 雞肉 in Chinese.,單字 'chicken' 在中文裡的意思是雞肉。,7. Food & drink
dumpling,餃子,The word 'dumpling' means 餃子 in Chinese.,單字 'dumpling' 在中文裡的意思是餃子。,7. Food & drink
egg,雞蛋,The word 'egg' means 雞蛋 in Chinese.,單字 'egg' 在中文裡的意思是雞蛋。,7. Food & drink
fast,快的,The word 'fast' means 快的 in Chinese.,單字 'fast' 在中文裡的意思是快的。,7. Food & drink
eat,吃,We eat together after school.,我們放學後一起吃。,7. Food & drink
fish,魚,The word 'fish' means 魚 in Chinese.,單字 'fish' 在中文裡的意思是魚。,7. Food & drink
French fries,薯條,The word 'french fries' means 薯條 in Chinese.,單字 'french fries' 在中文裡的意思是薯條。,7. Food & drink
ham,火腿,The word 'ham' means 火腿 in Chinese.,單字 'ham' 在中文裡的意思是火腿。,7. Food & drink
hamburger,漢堡,The word 'hamburger' means 漢堡 in Chinese.,單字 'hamburger' 在中文裡的意思是漢堡。,7. Food & drink
hot dog,熱狗,The word 'hot dog' means 熱狗 in Chinese.,單字 'hot dog' 在中文裡的意思是熱狗。,7. Food & drink
noodle,麵條,The word 'noodle' means 麵條 in Chinese.,單字 'noodle' 在中文裡的意思是麵條。,7. Food & drink
pizza,披薩,The word 'pizza' means 披薩 in Chinese.,單字 'pizza' 在中文裡的意思是披薩。,7. Food & drink
pork,豬肉,The word 'pork' means 豬肉 in Chinese.,單字 'pork' 在中文裡的意思是豬肉。,7. Food & drink
rice,米飯,The word 'rice' means 米飯 in Chinese.,單字 'rice' 在中文裡的意思是米飯。,7. Food & drink
salad,沙拉,The word 'salad' means 沙拉 in Chinese.,單字 'salad' 在中文裡的意思是沙拉。,7. Food & drink
sandwich,三明治,The word 'sandwich' means 三明治 in Chinese.,單字 'sandwich' 在中文裡的意思是三明治。,7. Food & drink
soup,湯,The word 'soup' means 湯 in Chinese.,單字 'soup' 在中文裡的意思是湯。,7. Food & drink
steak,牛排,The word 'steak' means 牛排 in Chinese.,單字 'steak' 在中文裡的意思是牛排。,7. Food & drink
snack,點心,The word 'snack' means 點心 in Chinese.,單字 'snack' 在中文裡的意思是點心。,7. Food & drink
breakfast,早餐,The word 'breakfast' means 早餐 in Chinese.,單字 'breakfast' 在中文裡的意思是早餐。,7. Food & drink
dinner,晚餐,The word 'dinner' means 晚餐 in Chinese.,單字 'dinner' 在中文裡的意思是晚餐。,7. Food & drink
lunch,午餐,The word 'lunch' means 午餐 in Chinese.,單字 'lunch' 在中文裡的意思是午餐。,7. Food & drink
meal,餐,The word 'meal' means 餐 in Chinese.,單字 'meal' 在中文裡的意思是餐。,7. Food & drink
burn,燃燒,The word 'burn' means 燃燒 in Chinese.,單字 'burn' 在中文裡的意思是燃燒。,7. Food & drink
coffee,咖啡,The word 'coffee' means 咖啡 in Chinese.,單字 'coffee' 在中文裡的意思是咖啡。,7. Food & drink
cola,可樂,The word 'cola' means 可樂 in Chinese.,單字 'cola' 在中文裡的意思是可樂。,7. Food & drink
drink,飲料,We drink together after school.,我們放學後一起飲料。,7. Food & drink
ice,冰,The word 'ice' means 冰 in Chinese.,單字 'ice' 在中文裡的意思是冰。,7. Food & drink
juice,果汁,The word 'juice' means 果汁 in Chinese.,單字 'juice' 在中文裡的意思是果汁。,7. Food & drink
milk,牛奶,The word 'milk' means 牛奶 in Chinese.,單字 'milk' 在中文裡的意思是牛奶。,7. Food & drink
milkshake,奶昔,The word 'milkshake' means 奶昔 in Chinese.,單字 'milkshake' 在中文裡的意思是奶昔。,7. Food & drink
tea,茶,The word 'tea' means 茶 in Chinese.,單字 'tea' 在中文裡的意思是茶。,7. Food & drink
water,水,The word 'water' means 水 in Chinese.,單字 'water' 在中文裡的意思是水。,7. Food & drink
cake,蛋糕,The word 'cake' means 蛋糕 in Chinese.,單字 'cake' 在中文裡的意思是蛋糕。,7. Food & drink
candy,糖果,The word 'candy' means 糖果 in Chinese.,單字 'candy' 在中文裡的意思是糖果。,7. Food & drink
cheese,起司,The word 'cheese' means 起司 in Chinese.,單字 'cheese' 在中文裡的意思是起司。,7. Food & drink
chocolate,巧克力,The word 'chocolate' means 巧克力 in Chinese.,單字 'chocolate' 在中文裡的意思是巧克力。,7. Food & drink
cookie,餅乾,The word 'cookie' means 餅乾 in Chinese.,單字 'cookie' 在中文裡的意思是餅乾。,7. Food & drink
ice cream,冰淇淋,The word 'ice cream' means 冰淇淋 in Chinese.,單字 'ice cream' 在中文裡的意思是冰淇淋。,7. Food & drink
moon cake,月餅,The word 'moon cake' means 月餅 in Chinese.,單字 'moon cake' 在中文裡的意思是月餅。,7. Food & drink
cook,廚師,The word 'cook' means 廚師 in Chinese.,單字 'cook' 在中文裡的意思是廚師。,7. Food & drink
popcorn,爆米花,The word 'popcorn' means 爆米花 in Chinese.,單字 'popcorn' 在中文裡的意思是爆米花。,7. Food & drink
toast,吐司,The word 'toast' means 吐司 in Chinese.,單字 'toast' 在中文裡的意思是吐司。,7. Food & drink
butter,奶油,The word 'butter' means 奶油 in Chinese.,單字 'butter' 在中文裡的意思是奶油。,7. Food & drink
oil,油,The word 'oil' means 油 in Chinese.,單字 'oil' 在中文裡的意思是油。,7. Food & drink
salt,鹽,The word 'salt' means 鹽 in Chinese.,單字 'salt' 在中文裡的意思是鹽。,7. Food & drink
sugar,糖,The word 'sugar' means 糖 in Chinese.,單字 'sugar' 在中文裡的意思是糖。,7. Food & drink
hungry,飢餓的,I feel hungry today.,我今天感到飢餓的。,7. Food & drink
full,飽的,The word 'full' means 飽的 in Chinese.,單字 'full' 在中文裡的意思是飽的。,7. Food & drink
thirsty,口渴的,The word 'thirsty' means 口渴的 in Chinese.,單字 'thirsty' 在中文裡的意思是口渴的。,7. Food & drink
delicious,美味的,The word 'delicious' means 美味的 in Chinese.,單字 'delicious' 在中文裡的意思是美味的。,7. Food & drink
hot,熱的,The word 'hot' means 熱的 in Chinese.,單字 'hot' 在中文裡的意思是熱的。,7. Food & drink
sweet,甜的,The word 'sweet' means 甜的 in Chinese.,單字 'sweet' 在中文裡的意思是甜的。,7. Food & drink
yummy,好吃的,The word 'yummy' means 好吃的 in Chinese.,單字 'yummy' 在中文裡的意思是好吃的。,7. Food & drink
bake,烤,The word 'bake' means 烤 in Chinese.,單字 'bake' 在中文裡的意思是烤。,7. Food & drink
boil,煮,The word 'boil' means 煮 in Chinese.,單字 'boil' 在中文裡的意思是煮。,7. Food & drink
order,點菜,The word 'order' means 點菜 in Chinese.,單字 'order' 在中文裡的意思是點菜。,7. Food & drink
menu,菜單,The word 'menu' means 菜單 in Chinese.,單字 'menu' 在中文裡的意思是菜單。,7. Food & drink
coat,外套,The word 'coat' means 外套 in Chinese.,單字 'coat' 在中文裡的意思是外套。,7. Food & drink
dress,洋裝,The word 'dress' means 洋裝 in Chinese.,單字 'dress' 在中文裡的意思是洋裝。,7. Food & drink
jacket,夾克,The word 'jacket' means 夾克 in Chinese.,單字 'jacket' 在中文裡的意思是夾克。,7. Food & drink
jeans,牛仔褲,The word 'jeans' means 牛仔褲 in Chinese.,單字 'jeans' 在中文裡的意思是牛仔褲。,7. Food & drink
pants,長褲,The word 'pants' means 長褲 in Chinese.,單字 'pants' 在中文裡的意思是長褲。,7. Food & drink
shirt,襯衫,The word 'shirt' means 襯衫 in Chinese.,單字 'shirt' 在中文裡的意思是襯衫。,7. Food & drink
wear,穿,The word 'wear' means 穿 in Chinese.,單字 'wear' 在中文裡的意思是穿。,7. Food & drink
shorts,短褲,The word 'shorts' means 短褲 in Chinese.,單字 'shorts' 在中文裡的意思是短褲。,7. Food & drink
skirt,裙子,The word 'skirt' means 裙子 in Chinese.,單字 'skirt' 在中文裡的意思是裙子。,7. Food & drink
sweater,毛衣,The word 'sweater' means 毛衣 in Chinese.,單字 'sweater' 在中文裡的意思是毛衣。,7. Food & drink
uniform,制服,The word 'uniform' means 制服 in Chinese.,單字 'uniform' 在中文裡的意思是制服。,7. Food & drink
vest,背心,The word 'vest' means 背心 in Chinese.,單字 'vest' 在中文裡的意思是背心。,7. Food & drink
bag,袋子,The word 'bag' means 袋子 in Chinese.,單字 'bag' 在中文裡的意思是袋子。,7. Food & drink
belt,皮帶,The word 'belt' means 皮帶 in Chinese.,單字 'belt' 在中文裡的意思是皮帶。,7. Food & drink
cap,帽子,The word 'cap' means 帽子 in Chinese.,單字 'cap' 在中文裡的意思是帽子。,7. Food & drink
comb,梳子,The word 'comb' means 梳子 in Chinese.,單字 'comb' 在中文裡的意思是梳子。,7. Food & drink
glove,手套,The word 'glove' means 手套 in Chinese.,單字 'glove' 在中文裡的意思是手套。,7. Food & drink
hat,帽子,The word 'hat' means 帽子 in Chinese.,單字 'hat' 在中文裡的意思是帽子。,7. Food & drink
